object_category_Id,FullName,ShortName,global_id,LegalAddress,ChiefName,ChiefPosition,PublicPhone,WebSite,ID,Email
,Управление ЗАГС города Москвы,ЗАГС,38729156,"119019, г. Москва, улица Новый Арбат, дом 21",Уханева Светлана Николаевна,Исполняющий обязанности начальника Управления ЗАГС Москвы,"PublicPhone:(495) 777-77-77

",www.mos.ru/zags/,14,"Email:zags@mos.ru

"
,Префектура Восточного административного округа города Москвы,Префектура ВАО,38729157,"107076, г. Москва, Преображенская площадь, дом 9",Алешин Николай Владимирович,префект,"PublicPhone:(495) 777-77-77

",vao.mos.ru,15,"Email:vao@mos.ru

"
,Префектура Зеленоградского административного округа города Москвы,Префектура ЗелАО,38729158,"124482, г. Москва, Центральный проспект, дом 1",Смирнов Анатолий Николаевич,префект,"PublicPhone:(495) 777-77-77

",zelao.mos.ru,17,"Email:Prefectura_ZelAO@mos.ru

"
,Префектура Северного административного округа города Москвы,Префектура САО,38729160,"127422, г. Москва, Тимирязевская улица, дом 27",Степанов Владимир Викторович,префект,"PublicPhone:(495) 777-77-77

",sao.mos.ru,18,"Email:sao@mos.ru

"
,Префектура Северо-Западного административного округа города Москвы,Префектура СЗАО,38729163,"125362, г. Москва, улица Свободы, дом 13/2",Пашков Алексей Анатольевич,префект,"PublicPhone:(495) 777-77-77

",szao.mos.ru,20,"Email:szao@mos.ru

"
,Префектура Юго-Западного административного округа города Москвы,Префектура ЮЗАО,38729164,"117209, г. Москва, Севастопольский проспект, дом 28, корпус 4",Волков Олег Александрович,префект,"PublicPhone:(495) 777-77-77

",uzao.mos.ru,23,"Email:Prefectura_UZAO@mos.ru

"
,Управа района Арбат города Москвы,,38729165,"119002, г. Москва, улица Арбат, дом 40, строение 2-3",Нечаев Юрий Николаевич,глава управы,"PublicPhone:(495) 777-77-77

",arbat.mos.ru,26,"Email:arbat@mos.ru

"
,Управа Басманного района города Москвы,,38729168,"105066, г. Москва, Новая Басманная улица, дом 37, строение 1",Лесных Ирина Васильевна,глава управы,"PublicPhone:(495) 777-77-77

",basman.mos.ru,27,"Email:ur-basman@mos.ru

"
,Управа района Замоскворечье города Москвы,,38729169,"115054, г. Москва, улица Бахрушина, дом 13",Романова Наталья Николаевна,"глава управы
","PublicPhone:(495) 777-77-77

",zmsk.mos.ru,28,"Email:cao-ur-zamoskv@mos.ru

"
,Управа Мещанского района города Москвы,,38729170,"129090, г. Москва, проспект Мира, дом 5, строение 2",Башаров Дмитрий Николаевич,глава управы,"PublicPhone:(495) 777-77-77

",meschanka.mos.ru,30,"Email:meschanka@mos.ru

"
,Управа Пресненского района города Москвы,,38729171,"123100, г. Москва, Шмитовский проезд, дом 2, строение 1",Михайлов Александр Валентинович,глава управы,"PublicPhone:(495) 777-77-77

",presnya.mos.ru,31,"Email:uprpresn@mos.ru

"
,Управа Таганского района города Москвы,,38729172,"109147, г. Москва, Воронцовская улица, дом 21",Мишаков Александр Сергеевич,глава управы,"PublicPhone:(495) 777-77-77

",tagan.mos.ru,32,"Email:ur_tagansky@mos.ru

"
,Управа Тверского района города Москвы,,38729173,"125047, г. Москва, улица Чаянова, дом 11/2",Золотарев Сергей Евгеньевич,глава управы,"PublicPhone:(495) 777-77-77

",tveruprava.mos.ru,33,"Email:ur-tverskoy@mos.ru

"
,Управа района Якиманка города Москвы,,38729174,"115093, Москва, ул. Люсиновская, дом 27, строение 2
",Макарова Елена Владимировна,"глава управы
","PublicPhone:(495) 777-77-77

",yakimanka.mos.ru,35,"Email:ur-yakimanka@mos.ru

"
,Управа района Аэропорт города Москвы,,38729176,"125315, г. Москва, улица Усиевича, дом 23/5",На рассмотрении,глава управы,"PublicPhone:(495) 777-77-77

",aeroport.mos.ru,36,"Email:sao-aeroport@mos.ru

"
,Управа района Беговой города Москвы,,38729178,"125040, г. Москва, Ленинградский проспект, дом 30, строение 3",Мизгарь Александр Анатольевич,глава управы,"PublicPhone:(495) 777-77-77

",begovoy.mos.ru,37,"Email:sao-begovoy@mos.ru

"
,Управа Бескудниковского района города Москвы,,38729179,"127474, г. Москва, Бескудниковский бульвар, дом 16А",Кануков Денис Михайлович,глава управы,"PublicPhone:(495) 777-77-77

",beskudnikovo.mos.ru,38,"Email:beskudnikovo@mos.ru

"
,Управа Войковского района города Москвы,,38729181,"125171, г. Москва, 1-й Новоподмосковный переулок, дом 2/1",Захаров Олег Захарович,глава управы,"PublicPhone:(495) 777-77-77

",voykovsky.mos.ru,39,"Email:voik@mos.ru

"
,Управа района Восточное Дегунино города Москвы,,38729182,"127591, г. Москва, улица 800-летия Москвы, дом 32",Емельянов Александр Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",vost-degunino.mos.ru,40,"Email:sao-ur-vdegunino@mos.ru

"
,Управа Головинского района города Москвы,,38729183,"125565, г. Москва, Флотская улица, дом 1 ",Панасенко Михаил Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",golovinskiy.mos.ru,41,"Email:sao-golov@mos.ru

"
,Управа Дмитровского района города Москвы,,38729184,"127644, г. Москва, Клязьминская улица, дом 11, корпус 3",Перхун Сергей Иванович,глава управы,"PublicPhone:(495) 777-77-77

",dmitrovskiy.mos.ru,42,"Email:sao-dmitr@mos.ru

"
,Управа района Западное Дегунино города Москвы,,38729185,"127486, г. Москва, Дегунинская улица, дом 1, корпус 1",Молодецкая Оксана Вячеславовна,"глава управы
","PublicPhone:(495) 777-77-77

",zap-degunino.mos.ru,43,"Email:sao-wdeg@mos.ru

"
,Управа района Левобережный города Москвы,,38729187,"125565, г. Москва, Флотская улица, дом 1",Фисенко Юрий Геннадьевич,глава управы,"PublicPhone:(495) 777-77-77

",levoberezhny.mos.ru,45,"Email:sao-levober@mos.ru

"
,Управа Савеловского района города Москвы,,38729189,"127083, г. Москва, Петровско-Разумовский проезд, дом 5",Шнурков Александр Юрьевич,глава управы,"PublicPhone:(495) 777-77-77

",savelovskiy.mos.ru,47,"Email:sao-savel@mos.ru

"
,Управа района Сокол города Москвы,,38729190,"125080, г. Москва, улица Шишкина, дом 7",Борисенко Алексей Леонидович,глава управы,"PublicPhone:(495) 777-77-77

",sokol.mos.ru,48,"Email:sokol@mos.ru

"
,Управа Тимирязевского района города Москвы,,38729191,"127206, г. Москва, Астрадамский проезд, дом 4",Панасенко Александр Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",timiryazevskiy.mos.ru,49,"Email:sao-timir@mos.ru

"
,Управа района Ховрино города Москвы,,38729192,"125565, г. Москва, Флотская улица, дом 1  ",Красовский Александр Сергеевич,исполняющий обязанности главы управы,"PublicPhone:(495) 777-77-77

",khovrino.mos.ru,50,"Email:sao-hovrino@mos.ru

"
,Управа Хорошевского района города Москвы,,38729193,"123007, г. Москва, Хорошёвское шоссе, дом 84, корпус 3",Бахров Сергей Анатольевич,глава управы,"PublicPhone:(495) 777-77-77

",khoroshevskiy.mos.ru,51,"Email:sao-hor@mos.ru

"
,Управа Алексеевского района города Москвы,,38729195,"129626, г. Москва, проспект Мира, дом 104",Бужгулашвили Вадим Альбертович,глава управы,"PublicPhone:(495) 777-77-77

",alekseevsky.mos.ru,52,"Email:alespr@mos.ru

"
,Управа Алтуфьевского района города Москвы,,38729196,"127549, г. Москва, Алтуфьевское шоссе, дом 56А",Недашковский Максим Вячеславович,глава управы,"PublicPhone:(495) 777-77-77

",altufievo.mos.ru,53,"Email:altspr@mos.ru

"
,Управа Бабушкинского района города Москвы,,38729197,"129344, г. Москва, улица Лётчика Бабушкина, дом 1, корпус 1 ",Кузьмин Александр Михайлович,глава управы,"PublicPhone:(495) 777-77-77

",babushkinsky.mos.ru,54,"Email:bshspr@svao.mos.ru

"
,Управа района Северное Тушино города Москвы,,38729198,"125480, г. Москва, Туристская улица, дом 29, корпус 1",Кузнецов Сергей Иванович,глава управы,"PublicPhone:(495) 777-77-77

",severnoe-tushino.mos.ru,141,"Email:severnoe-tushino@mos.ru

"
,Управа района Строгино города Москвы,,38729200,"123181, г. Москва, улица Маршала Катукова, дом 19, корпус 1",Коновалов Виктор Викторович,глава управы,"PublicPhone:(495) 777-77-77

",strogino.mos.ru,142,"Email:szao-strogino@mos.ru

"
,Управа района Хорошево-Мневники города Москвы,,38729201,"123154, г. Москва, улица Народного Ополчения, дом 33, корпус 1",Ерохов Александр Сергеевич,глава управы,"PublicPhone:(495) 777-77-77

",horoshevo-mnevniki.mos.ru,143,"Email:szao-hormn@mos.ru

"
,Управа района Щукино города Москвы,,38729202,"123060, г. Москва, улица Расплетина, дом 9",Железняк Олег Сергеевич,глава управы,"PublicPhone:(495) 777-77-77

",schukino.mos.ru,144,"Email:shukino-uprava@mos.ru

"
,Управа района Южное Тушино города Москвы,,38729203,"125364, г. Москва, улица Свободы, дом 42",Захаров Дмитрий Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",tushino-juzhnoe.mos.ru,145,"Email:SZAO-UTUSH@mos.ru

"
,Управа района Крюково города Москвы,,38729205,"124617, г. Москва, г. Зеленоград, корпус 1444",Журавлев Андрей Владиславович,глава управы,"PublicPhone:(495) 777-77-77

",krukovo.mos.ru,146,"Email:krukovo@mos.ru

"
,Управа района Матушкино города Москвы,,38729206,"124482, г. Москва, г. Зеленоград, корпус 128",Гущин Антон Валентинович,глава управы,"PublicPhone:(495) 777-77-77

",matushkino.mos.ru,147,"Email:ru1@ru.mos.ru

"
,Управа района Савёлки города Москвы,,38729207,"124482, г. Москва, г. Зеленоград, корпус 311",Макшанцев Андрей Евгеньевич,глава управы,"PublicPhone:(495) 777-77-77

",savelki.mos.ru,148,"Email:zelao-savelki@mos.ru

"
,Государственное казенное учреждение города Москвы «Администратор Московского парковочного пространства»,ГКУ «АМПП»,38729210,"125040, г. Москва, Скаковая улица, дом 19",Гривняк Александр Иванович,генеральный директор,"PublicPhone:(495) 988-30-45

",parking.mos.ru,152,"Email:ampp-office@transport.mos.ru

"
,Государственное бюджетное учреждение города Москвы «Московское городское бюро технической инвентаризации»,ГБУ МосгорБТИ,38729211,"125009, г. Москва, Малый Гнездниковский переулок, дом 9, строение 7",Панин Владимир Эдуардович,генеральный директор,"PublicPhone:(495) 629-02-80

",www.mosgorbti.ru,153,"Email:btimail@mosgorbti.ru

"
,Государственное бюджетное учреждение города Москвы «Многофункциональные центры предоставления государственных услуг города Москвы»,ГБУ МФЦ города Москвы,38729213,"125009, г. Москва, Вознесенский переулок, дом 22",Фефелова Ольга Викторовна,директор,"PublicPhone:(495) 777-77-77

",md.mos.ru,155,"Email:md@mfc.mos.ru

"
,Главное управление Министерства внутренних дел Российской Федерации по городу Москве,ГУ МВД России по г. Москве,38729215,"127994, г. Москва, ул. Петровка, дом 38",Баранов Олег Анатольевич,начальник,"PublicPhone:(495) 694-92-29

",77.мвд.рф,157,"Email:77@мвд.рф

"
,Управление федеральной налоговой службы России по городу Москве,УФНС России по г. Москве,38729216,"125284, г. Москва, Хорошевское шоссе, дом 12А",Третьякова Марина Викторовна,руководитель,"PublicPhone:(800) 222-22-22

",www.nalog.ru/rn77/,158,"Email:nalog@mos.ru

"
,Территориальное управление Федерального агентства по управлению государственным имуществом в городе Москве,"Территориальное управление Росимущества
в городе Москве",38729217,"107139, г. Москва, Орликов переулок, дом 3, корпус Б",Колегов Антон Павлович,"Руководитель
","PublicPhone:(495) 647-71-47

",tu77.rosim.ru,159,"Email:tu77@rosim.ru

"
,Префектура Северо-Восточного административного округа города Москвы,Префектура СВАО,38730683,"129090, г. Москва, проспект Мира, дом 18",Беляев Алексей Александрович,префект,"PublicPhone:(495) 777-77-77

",svao.mos.ru,19,"Email:prefect@mos.ru

"
,Государственная жилищная инспекция города Москвы,Мосжилинспекция,38730708,"129090, г. Москва, проспект Мира, дом 19
",Кичиков Олег Владимирович,начальник,"PublicPhone:(499) 763-18-56

",www.mos.ru/mgi/,151,"Email:mgi@mos.ru

"
,Администрация поселения Московский,,279508356,"108811, г. Москва, г. Московский, микрорайон 1, дом 19А",Андрецова Дания Абдулбяровна,Глава администрации,"PublicPhone:(495) 841-81-47

",www.adm-moskovsky.ru,160,"Email:admmoskovsky@yandex.ru

"
,Администрация городского округа Троицк,,279508379,"108840, г. Москва, г. Троицк, Юбилейная улица, дом 3",Дудочкин Владимир Евгеньевич,глава,"PublicPhone:(495) 851-00-75

PublicPhone:(495) 840-66-46

",www.admtroitsk.ru,161,"Email:admtro@mail.ru

"
,Федеральное казенное учреждение «Военный комиссариат города Москвы»,,818665382,"129090, Москва, пр-т Мира, д. 15",Щепилов Виктор Алексеевич,военный комиссар,"PublicPhone:(495) 600-62-98

",www.mil.ru,162,"Email:voenkom_moskva_1@mil.ru

"
,Главное управление по обеспечению безопасности дорожного движения Министерства внутренних дел Российской Федерации,ГУОБДД МВД РОССИИ,835212113,"10100, г. Москва, Мясницкая улица, дом 3
",Черников Михаил Юрьевич,"начальник
","PublicPhone:(495) 214-09-66

",www.gibdd.ru,163,"Email:gibdd@mos.ru

"
,"Главное управление Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий по городу Москве",Главное управление МЧС России по г. Москве,1019664995,"119034 г. Москва, Пречистенка ул., д. 22/2, стр.1 4",Желтов Сергей Алексеевич,Начальник Главного управления МЧС России по г. Москве,"PublicPhone:(495) 637-22-22

",www.moscow.mchs.ru,164,"Email:gu_moscov@mchs.gov.ru

"
,Комитет государственного строительного надзора города Москвы,,1026482934,"121059, г. Москва, Брянская улица, 9",Войстратенко Игорь Михайлович,Председатель Комитета государственного строительного надзора города Москвы,"PublicPhone:(499) 240-03-12

",www.mos.ru/stroinadzor/,165,"Email:stroinadzor@mos.ru

"
,Государственное бюджетное учреждение города Москвы «Малый бизнес Москвы»,ГБУ «Малый бизнес Москвы»,1028519975,"123100, г. Москва, проезд Шмитовский, д.2, стр.1",Железняков Андрей Евгеньевич,Генеральный директор,"PublicPhone:(495) 225-14-14

",www.mbm.mos.ru,166,"Email:info@mbm.ru

"
,Государственное казенное учреждение города Москвы «Городской центр жилищных субсидий»,ГКУ «ГЦЖС»,1028647940,"127051, г. Москва, Малая Сухаревская пл., 2-4, корп./стр. 1",Овчинников Алексей Павлович,"и.о. Начальника ГКУ ""ГЦЖС""","PublicPhone:(495) 777-77-77

",www.subsident.ru,167,"Email:gcjs-info@dom.mos.ru

"
,Государственное учреждение - Московское региональное отделение Фонда социального страхования Российской Федерации,ГУ Московское РО ФСС,1103341654,"127006, Москва, Страстной бульвар, д.7, стр.1",Сидорова Наталья Сергеевна,Управляющий отделением Фонда,"PublicPhone:(495) 650-19-17

",www.r77.fss.ru,168,"Email:info@ro77.fss.ru

"
,Министерство иностранных дел Российской Федерации,МИД РФ,1124231234,"119200, Смоленская-Сенная пл., 32/34",Волынкин Иван Кириллович,Директор Консульского департамента,"PublicPhone:(499) 244-24-69

",www.mid.ru/ru/home,169,"Email:ministry@mid.ru

"
